,date,name,value
0,2010-01-01,Adjuntas,19483
1,2010-01-01,Aguada,41959
2,2010-01-01,Aguadilla,60949
3,2010-01-01,Aguas Buenas,28659
4,2010-01-01,Aibonito,25900
5,2010-01-01,Añasco,29261
6,2010-01-01,Arecibo,96440
7,2010-01-01,Arroyo,19575
8,2010-01-01,Barceloneta,24816
9,2010-01-01,Barranquitas,30318
10,2010-01-01,Bayamón,208116
11,2010-01-01,Cabo Rojo,50917
12,2010-01-01,Caguas,142893
13,2010-01-01,Camuy,35159
14,2010-01-01,Canóvanas,47648
15,2010-01-01,Carolina,176762
16,2010-01-01,Cataño,28140
17,2010-01-01,Cayey,48119
18,2010-01-01,Ceiba,13631
19,2010-01-01,Ciales,18782
20,2010-01-01,Cidra,43480
21,2010-01-01,Coamo,40512
22,2010-01-01,Comerío,20778
23,2010-01-01,Corozal,37142
24,2010-01-01,Culebra,1818
25,2010-01-01,Dorado,38165
26,2010-01-01,Fajardo,36993
27,2010-01-01,Florida,12680
28,2010-01-01,Guánica,19427
29,2010-01-01,Guayama,45362
30,2010-01-01,Guayanilla,21581
31,2010-01-01,Guaynabo,97924
32,2010-01-01,Gurabo,45369
33,2010-01-01,Hatillo,41953
34,2010-01-01,Hormigueros,17250
35,2010-01-01,Humacao,58466
36,2010-01-01,Isabela,45631
37,2010-01-01,Jayuya,16642
38,2010-01-01,Juana Díaz,50747
39,2010-01-01,Juncos,40290
40,2010-01-01,Lajas,25753
41,2010-01-01,Lares,30753
42,2010-01-01,Las Marías,9881
43,2010-01-01,Las Piedras,38675
44,2010-01-01,Loíza,30060
45,2010-01-01,Luquillo,20068
46,2010-01-01,Manatí,44113
47,2010-01-01,Maricao,6276
48,2010-01-01,Maunabo,12225
49,2010-01-01,Mayagüez,89080
50,2010-01-01,Moca,40109
51,2010-01-01,Morovis,32610
52,2010-01-01,Naguabo,26720
53,2010-01-01,Naranjito,30402
54,2010-01-01,Orocovis,23423
55,2010-01-01,Patillas,19277
56,2010-01-01,Peñuelas,24282
57,2010-01-01,Ponce,166327
58,2010-01-01,Quebradillas,25919
59,2010-01-01,Rincón,15200
60,2010-01-01,Río Grande,54304
61,2010-01-01,Sabana Grande,25265
62,2010-01-01,Salinas,31078
63,2010-01-01,San Germán,35527
64,2010-01-01,San Juan,395326
65,2010-01-01,San Lorenzo,41058
66,2010-01-01,San Sebastián,42430
67,2010-01-01,Santa Isabel,23274
68,2010-01-01,Toa Alta,74066
69,2010-01-01,Toa Baja,89609
70,2010-01-01,Trujillo Alto,74842
71,2010-01-01,Utuado,33149
72,2010-01-01,Vega Alta,39951
73,2010-01-01,Vega Baja,59662
74,2010-01-01,Vieques,9301
75,2010-01-01,Villalba,26073
76,2010-01-01,Yabucoa,37941
77,2010-01-01,Yauco,42043
78,2011-01-01,Adjuntas,19297
79,2011-01-01,Aguada,41531
80,2011-01-01,Aguadilla,59976
81,2011-01-01,Aguas Buenas,28337
82,2011-01-01,Aibonito,25537
83,2011-01-01,Añasco,29096
84,2011-01-01,Arecibo,95012
85,2011-01-01,Arroyo,19432
86,2011-01-01,Barceloneta,24820
87,2011-01-01,Barranquitas,30191
88,2011-01-01,Bayamón,204467
89,2011-01-01,Cabo Rojo,50803
90,2011-01-01,Caguas,141507
91,2011-01-01,Camuy,34777
92,2011-01-01,Canóvanas,47661
93,2011-01-01,Carolina,173847
94,2011-01-01,Cataño,27634
95,2011-01-01,Cayey,47671
96,2011-01-01,Ceiba,13353
97,2011-01-01,Ciales,18467
98,2011-01-01,Cidra,43167
99,2011-01-01,Coamo,40569
100,2011-01-01,Comerío,20630
101,2011-01-01,Corozal,36785
102,2011-01-01,Culebra,1812
103,2011-01-01,Dorado,38272
104,2011-01-01,Fajardo,36222
105,2011-01-01,Florida,12590
106,2011-01-01,Guánica,18975
107,2011-01-01,Guayama,44434
108,2011-01-01,Guayanilla,21184
109,2011-01-01,Guaynabo,96617
110,2011-01-01,Gurabo,46041
111,2011-01-01,Hatillo,41905
112,2011-01-01,Hormigueros,17162
113,2011-01-01,Humacao,57787
114,2011-01-01,Isabela,45324
115,2011-01-01,Jayuya,16419
116,2011-01-01,Juana Díaz,50273
117,2011-01-01,Juncos,40296
118,2011-01-01,Lajas,25386
119,2011-01-01,Lares,30004
120,2011-01-01,Las Marías,9679
121,2011-01-01,Las Piedras,38768
122,2011-01-01,Loíza,29525
123,2011-01-01,Luquillo,19907
124,2011-01-01,Manatí,43471
125,2011-01-01,Maricao,6205
126,2011-01-01,Maunabo,12067
127,2011-01-01,Mayagüez,87059
128,2011-01-01,Moca,39743
129,2011-01-01,Morovis,32587
130,2011-01-01,Naguabo,26839
131,2011-01-01,Naranjito,30192
132,2011-01-01,Orocovis,23157
133,2011-01-01,Patillas,18959
134,2011-01-01,Peñuelas,23760
135,2011-01-01,Ponce,162618
136,2011-01-01,Quebradillas,25695
137,2011-01-01,Rincón,15094
138,2011-01-01,Río Grande,53882
139,2011-01-01,Sabana Grande,25052
140,2011-01-01,Salinas,30761
141,2011-01-01,San Germán,35193
142,2011-01-01,San Juan,386862
143,2011-01-01,San Lorenzo,40640
144,2011-01-01,San Sebastián,41762
145,2011-01-01,Santa Isabel,23200
146,2011-01-01,Toa Alta,74537
147,2011-01-01,Toa Baja,88087
148,2011-01-01,Trujillo Alto,73910
149,2011-01-01,Utuado,32575
150,2011-01-01,Vega Alta,39811
151,2011-01-01,Vega Baja,58668
152,2011-01-01,Vieques,9236
153,2011-01-01,Villalba,25547
154,2011-01-01,Yabucoa,37367
155,2011-01-01,Yauco,41047
156,2012-01-01,Adjuntas,19116
157,2012-01-01,Aguada,41102
158,2012-01-01,Aguadilla,58976
159,2012-01-01,Aguas Buenas,28056
160,2012-01-01,Aibonito,25204
161,2012-01-01,Añasco,28851
162,2012-01-01,Arecibo,93839
163,2012-01-01,Arroyo,19244
164,2012-01-01,Barceloneta,24806
165,2012-01-01,Barranquitas,30015
166,2012-01-01,Bayamón,200994
167,2012-01-01,Cabo Rojo,50648
168,2012-01-01,Caguas,140101
169,2012-01-01,Camuy,34393
170,2012-01-01,Canóvanas,47646
171,2012-01-01,Carolina,171119
172,2012-01-01,Cataño,27185
173,2012-01-01,Cayey,47225
174,2012-01-01,Ceiba,13088
175,2012-01-01,Ciales,18204
176,2012-01-01,Cidra,42776
177,2012-01-01,Coamo,40467
178,2012-01-01,Comerío,20497
179,2012-01-01,Corozal,36420
180,2012-01-01,Culebra,1813
181,2012-01-01,Dorado,38234
182,2012-01-01,Fajardo,35511
183,2012-01-01,Florida,12513
184,2012-01-01,Guánica,18624
185,2012-01-01,Guayama,44255
186,2012-01-01,Guayanilla,20831
187,2012-01-01,Guaynabo,95300
188,2012-01-01,Gurabo,46454
189,2012-01-01,Hatillo,41777
190,2012-01-01,Hormigueros,17028
191,2012-01-01,Humacao,57124
192,2012-01-01,Isabela,44917
193,2012-01-01,Jayuya,16163
194,2012-01-01,Juana Díaz,49792
195,2012-01-01,Juncos,40238
196,2012-01-01,Lajas,25113
197,2012-01-01,Lares,29367
198,2012-01-01,Las Marías,9501
199,2012-01-01,Las Piedras,38726
200,2012-01-01,Loíza,29012
201,2012-01-01,Luquillo,19734
202,2012-01-01,Manatí,42860
203,2012-01-01,Maricao,6131
204,2012-01-01,Maunabo,11908
205,2012-01-01,Mayagüez,85296
206,2012-01-01,Moca,39341
207,2012-01-01,Morovis,32481
208,2012-01-01,Naguabo,26865
209,2012-01-01,Naranjito,30019
210,2012-01-01,Orocovis,22882
211,2012-01-01,Patillas,18705
212,2012-01-01,Peñuelas,23269
213,2012-01-01,Ponce,159312
214,2012-01-01,Quebradillas,25490
215,2012-01-01,Rincón,14979
216,2012-01-01,Río Grande,53700
217,2012-01-01,Sabana Grande,24722
218,2012-01-01,Salinas,30410
219,2012-01-01,San Germán,34717
220,2012-01-01,San Juan,379484
221,2012-01-01,San Lorenzo,40260
222,2012-01-01,San Sebastián,41175
223,2012-01-01,Santa Isabel,23093
224,2012-01-01,Toa Alta,74669
225,2012-01-01,Toa Baja,86735
226,2012-01-01,Trujillo Alto,73029
227,2012-01-01,Utuado,32038
228,2012-01-01,Vega Alta,39625
229,2012-01-01,Vega Baja,57839
230,2012-01-01,Vieques,9215
231,2012-01-01,Villalba,25137
232,2012-01-01,Yabucoa,36843
233,2012-01-01,Yauco,40260
234,2013-01-01,Adjuntas,19021
235,2013-01-01,Aguada,40706
236,2013-01-01,Aguadilla,58038
237,2013-01-01,Aguas Buenas,27787
238,2013-01-01,Aibonito,24881
239,2013-01-01,Añasco,28621
240,2013-01-01,Arecibo,92957
241,2013-01-01,Arroyo,19069
242,2013-01-01,Barceloneta,24832
243,2013-01-01,Barranquitas,29871
